sm_name	sm_lincs_id	sm_alternative_name	sm_pubchem_cid	sm_chembl_id	sm_inchi_parent	sm_inchi_key_parent	sm_smiles_parent	sm_center_name	sm_center_compound_id	sm_center_sample_id	sm_provider	sm_provider_catalog_id	sm_provider_batch_id	sm_salt	sm_smiles_batch	sm_inchi_batch	sm_inchi_key_batch	sm_molecular_mass	sm_purity	sm_purity_method	sm_aqueous_solubility	sm_logp	did
Ruxolitinib	LSM-1139	Jakafi	25126798		"InChI=1S/C17H18N6/c18-7-5-15(12-3-1-2-4-12)23-10-13(9-22-23)16-14-6-8-19-17(14)21-11-20-16/h6,8-12,15H,1-5H2,(H,19,20,21)/t15-/m1/s1"		C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3	DToxS	RUX	DToxS_Ruxolitinib	Aldrich Market Select	MFCD12031592	244322445		C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3			306.37	\N	\N	\N	\N	198
Erlotinib	LSM-1097	Tarceva	176870		"InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)"		COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC	DToxS	ERL	DToxS_Erlotinib	Aldrich Market Select	MFCD02089651	243014962		COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC			393.44	\N	\N	\N	\N	140
Gefitinib	LSM-1098	Iressa	123631		"InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)"		COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4	DToxS	GEF	DToxS_Gefitinib	Aldrich Market Select	MFCD04307832	243174589		COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4			446.9	\N	\N	\N	\N	141
Nilotinib	LSM-1099	Tasigna	644241		"InChI=1S/C28H22F3N7O/c1-17-5-6-19(10-25(17)37-27-33-9-7-24(36-27)20-4-3-8-32-14-20)26(39)35-22-11-21(28(29,30)31)12-23(13-22)38-15-18(2)34-16-38/h3-16H,1-2H3,(H,35,39)(H,33,36,37)"		CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5	DToxS	NIL	DToxS_Nilotinib	Aldrich Market Select	MFCD09833716	243590611		CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5			529.52	\N	\N	\N	\N	146
Pazopanib	LSM-1114	Votrient	10113978		"InChI=1S/C21H23N7O2S/c1-13-5-6-15(11-19(13)31(22,29)30)24-21-23-10-9-20(25-21)27(3)16-7-8-17-14(2)28(4)26-18(17)12-16/h5-12H,1-4H3,(H2,22,29,30)(H,23,24,25)"		CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N	DToxS	PAZ	DToxS_Pazopanib	Aldrich Market Select	MFCD12546138	244125720		CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N			437.52	\N	\N	\N	\N	168
Bosutinib	LSM-1190	Bosulif	5328940		"InChI=1S/C26H29Cl2N5O3/c1-32-6-8-33(9-7-32)5-4-10-36-25-13-21-18(11-24(25)35-3)26(17(15-29)16-30-21)31-22-14-23(34-2)20(28)12-19(22)27/h11-14,16H,4-10H2,1-3H3,(H,30,31)"		CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC	DToxS	BOS	DToxS_Bosutinib	Aldrich Market Select	MFCD07367846	243290248		CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC			530.45	\N	\N	\N	\N	267
Vandetanib	LSM-1199	Caprelsa	3081361		"InChI=1S/C22H24BrFN4O2/c1-28-7-5-14(6-8-28)12-30-21-11-19-16(10-20(21)29-2)22(26-13-25-19)27-18-4-3-15(23)9-17(18)24/h3-4,9-11,13-14H,5-8,12H2,1-2H3,(H,25,26,27)"		CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC	DToxS	VAN	DToxS_Vandetanib	Aldrich Market Select	MFCD07772346	243310720		CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC			475.35	\N	\N	\N	\N	274
Regorafenib	LSM-1226	Stivarga	11167602		"InChI=1S/C21H15ClF4N4O3/c1-27-19(31)18-10-13(6-7-28-18)33-12-3-5-17(16(23)9-12)30-20(32)29-11-2-4-15(22)14(8-11)21(24,25)26/h2-10H,1H3,(H,27,31)(H2,29,30,32)"		CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F	DToxS	REG	DToxS_Regorafenib	Aldrich Market Select	MFCD16038047	293012533		CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F			482.82	\N	\N	\N	\N	302
Afatinib	LSM-5742	Gilotrif	57519523		"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/t16-/m0/s1"		CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4	DToxS	AFA	DToxS_Afatinib	Aldrich Market Select	MFCD12407405	244500168		CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4			485.94	\N	\N	\N	\N	565
Axitinib	LSM-5438	Inlyta	3086685		"InChI=1S/C22H18N4OS/c1-23-22(27)18-7-2-3-8-21(18)28-16-10-11-17-19(25-26-20(17)14-16)12-9-15-6-4-5-13-24-15/h2-14H,1H3,(H,23,27)(H,25,26)"		CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4	DToxS	AXI	DToxS_Axitinib	Aldrich Market Select	MFCD09837898	243596567		CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4			386.47	\N	\N	\N	\N	1287
Sunitinib	LSM-1176	Sutent	3086686		"InChI=1S/C22H27FN4O2/c1-5-27(6-2)10-9-24-22(29)20-13(3)19(25-14(20)4)12-17-16-11-15(23)7-8-18(16)26-21(17)28/h7-8,11-12,25H,5-6,9-10H2,1-4H3,(H,24,29)(H,26,28)"		CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C	DToxS	SUN	DToxS_Sunitinib	Sigma Aldrich	PZ0012-25MG	030M4706V		CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\\2/C3=C(C=CC(=C3)F)NC2=O)C			398.47	\N	\N	\N	\N	245
Tofacitinib	LSM-1227	Xeljanz	9926791		"InChI=1S/C16H20N6O/c1-11-5-8-22(14(23)3-6-17)9-13(11)21(2)16-12-4-7-18-15(12)19-10-20-16/h4,7,10-11,13H,3,5,8-9H2,1-2H3,(H,18,19,20)/t11-,13+/m1/s1"		C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N	DToxS	TOF	DToxS_Tofacitinib	Sigma Aldrich	PZ0017-25MG	06ZM4704V		C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N			312.37	\N	\N	\N	\N	303
