Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	AFA.30.5.2	AFA.39.6.2	AFA.39.12.2	AFA.42.9.2	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	AFA.30.5.2.Norm	AFA.39.6.2.Norm	AFA.39.12.2.Norm	AFA.42.9.2.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	22	13	13	13	892.461588842738	607.588492236351	679.662965950917	748.717690145493	643.596786334864	668.839414154022	560.059404180933	942.458771153209	712.766290944061	920.203231885486	526.864364252287	521.046657857688	690.48101452282
1433E_HUMAN	34	31	29	26	52	30	30	30	19	26	23	22	14	1083.70335788047	1107.95548584276	1095.01255625425	1081.48110798793	984.324496747439	912.053746573666	1200.12729467343	1285.17105157256	796.621148702186	1087.51291041012	932.144644446355	881.77126714378	743.594938716883
1433F_HUMAN	16	15	15	10	24	13	12	13	13	9	12	13	12	509.978050767279	536.107493149721	566.385804959097	415.954272303052	454.303613883433	395.223290181922	480.050917869371	556.907455681442	545.056575427811	376.446776680426	486.336336232881	521.046657857688	637.367090328757
1433G_HUMAN	22	21	20	17	33	17	14	15	17	16	19	19	13	701.219819805008	750.55049040961	755.181073278796	707.122262915188	624.667469089721	516.830456391744	560.059404180933	642.585525786279	712.766290944061	669.238714098535	770.032532368728	761.529730715082	690.48101452282
1433S_HUMAN	0	8	8	9	8	0	0	0	6	0	0	0	0	0	285.923996346518	302.072429311518	374.358845072747	151.434537961144	0	0	0	251.564573274374	0	0	0	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	25	21	18	17	860.587960669783	786.290989952925	906.217287934556	831.908544606103	870.74859327658	668.839414154022	920.097592582961	685.424560838697	754.693719823123	1045.68549077896	851.088588407541	721.449218572183	902.936711299072
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	29	27	29	29	1115.57698605342	1215.1769844727	1208.28971724607	1039.88568075763	1078.97108297315	851.250163468755	1360.14426729655	1199.49298146772	1090.11315085562	1212.99516930359	1094.25675652398	1162.33485214407	1540.30380162783
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	7	6	5	191.241769037729	0	264.313375647579	0	0	182.410749314733	160.016972623124	0	209.637144395312	0	283.696196135847	240.483072857394	265.569620970315
1A02_HUMAN	8	11	7	10	24	9	4	9	6	8	7	7	8	254.989025383639	393.145494976462	264.313375647579	415.954272303052	454.303613883433	273.6161239721	160.016972623124	385.551315471767	251.564573274374	334.619357049268	283.696196135847	280.563585000294	424.911393552505
1A11_HUMAN	0	9	0	5	22	0	0	0	0	0	0	0	0	0	321.664495889833	0	207.977136151526	416.444979393147	0	0	0	0	0	0	0	0
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37.7590536639398	0	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	188.795268319699	0	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	0	0	5	8	0	0	226.554321983639	374.358845072747	0	0	0	0	251.564573274374	0	0	200.402560714495	424.911393552505
1B08_HUMAN	6	0	0	0	17	6	4	0	6	0	5	0	0	191.241769037729	0	0	0	321.798393167432	182.410749314733	160.016972623124	0	251.564573274374	0	202.640140097034	0	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	283.939758677146	0	0	0	0	0	0	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	4	0	7	6	0	178.702497716574	226.554321983639	207.977136151526	0	0	0	342.712280419349	0	167.309678524634	0	280.563585000294	318.683545164378
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	188.795268319699	0	0	0	0	0	0	0	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	3	0	0	7	191.241769037729	0	264.313375647579	0	0	182.410749314733	0	0	0	125.482258893475	0	0	371.797469358442
1C07_HUMAN	0	0	0	6	23	0	0	0	0	0	0	0	0	0	0	0	249.572563381831	435.37429663829	0	0	0	0	0	0	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	0	0	0	0	223.115397210684	0	0	0	416.444979393147	152.008957762278	0	0	0	0	0	0	0
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	3	1	2	2	127.49451269182	35.7404995433148	151.036214655759	83.1908544606103	94.6465862257153	152.008957762278	120.012729467343	128.517105157256	41.9274288790624	125.482258893475	40.5280280194067	80.1610242857982	106.227848388126
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	1	0	0	1	0	35.7404995433148	0	41.5954272303052	37.8586344902861	30.4017915524555	0	42.8390350524186	0	41.8274196311584	0	0	53.1139241940631
2A5G_HUMAN	3	0	0	0	0	0	0	0	0	0	0	0	0	95.6208845188647	0	0	0	0	0	0	0	0	0	0	0	0
2AAA_HUMAN	14	18	22	20	31	22	22	18	17	21	9	14	19	446.230794421369	643.328991779666	830.699180606676	831.908544606103	586.808834599435	668.839414154022	880.09334942718	771.102630943535	712.766290944061	878.375812254327	364.75225217466	561.127170000587	1009.1645596872
2ABA_HUMAN	10	5	4	3	10	6	2	5	6	4	1	7	4	318.736281729549	178.702497716574	151.036214655759	124.786281690916	189.293172451431	182.410749314733	80.0084863115619	214.195175262093	251.564573274374	167.309678524634	40.5280280194067	280.563585000294	212.455696776252
3BHS7_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	0	31.8736281729549	0	0	0	0	0	0	0	0	0	0	0	0
3HAO_HUMAN	0	1	0	0	4	1	0	0	1	0	1	0	0	0	35.7404995433148	0	0	75.7172689805722	30.4017915524555	0	0	41.9274288790624	0	40.5280280194067	0	0
3HIDH_HUMAN	8	7	6	4	19	6	5	3	2	6	5	5	6	254.989025383639	250.183496803203	226.554321983639	166.381708921221	359.657027657718	182.410749314733	200.021215778905	128.517105157256	83.8548577581248	250.964517786951	202.640140097034	200.402560714495	318.683545164378
3MG_HUMAN	1	0	1	1	0	1	0	0	0	0	0	0	0	31.8736281729549	0	37.7590536639398	41.5954272303052	0	30.4017915524555	0	0	0	0	0	0	0
4F2_HUMAN	15	9	10	10	27	14	11	10	8	5	3	9	9	478.104422594324	321.664495889833	377.590536639398	415.954272303052	511.091565618862	425.625081734378	440.04667471359	428.390350524186	335.419431032499	209.137098155792	121.58408405822	360.724609286092	478.025317746568
5NTC_HUMAN	4	3	6	5	9	7	4	3	6	5	1	3	1	127.49451269182	107.221498629944	226.554321983639	207.977136151526	170.363855206287	212.812540867189	160.016972623124	128.517105157256	251.564573274374	209.137098155792	40.5280280194067	120.241536428697	53.1139241940631
5NTD_HUMAN	2	2	1	1	16	2	3	1	3	0	3	3	1	63.7472563459098	71.4809990866295	37.7590536639398	41.5954272303052	302.869075922289	60.8035831049111	120.012729467343	42.8390350524186	125.782286637187	0	121.58408405822	120.241536428697	53.1139241940631
6PGD_HUMAN	13	16	14	13	23	14	11	9	11	12	7	9	11	414.357166248414	571.847992693036	528.626751295157	540.740553993967	435.37429663829	425.625081734378	440.04667471359	385.551315471767	461.201717669687	501.929035573901	283.696196135847	360.724609286092	584.253166134694
6PGL_HUMAN	13	13	12	10	28	14	9	13	17	15	13	14	14	414.357166248414	464.626494063092	453.108643967278	415.954272303052	530.020882864005	425.625081734378	360.038188402028	556.907455681442	712.766290944061	627.411294467377	526.864364252287	561.127170000587	743.594938716883
8ODP_HUMAN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	53.1139241940631
A16A1_HUMAN	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	30.4017915524555	0	42.8390350524186	0	41.8274196311584	0	0	106.227848388126
A2MG_HUMAN	4	2	0	1	0	2	0	1	0	1	0	0	0	127.49451269182	71.4809990866295	0	41.5954272303052	0	60.8035831049111	0	42.8390350524186	0	41.8274196311584	0	0	0
