Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	AXI.30.5.3	AXI.39.6.3	AXI.39.12.3	AXI.42.9.3	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	AXI.30.5.3.Norm	AXI.39.6.3.Norm	AXI.39.12.3.Norm	AXI.42.9.3.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	17	13	16	11	873.519154824928	596.042074684722	685.47848904812	748.073402242551	653.12277358911	691.614554754445	575.358095697928	940.334998480526	699.922952742465	694.369269837062	528.314001835837	629.836380085228	595.255325764485
1433E_HUMAN	34	31	29	26	52	30	30	30	19	31	30	21	13	1060.70183085884	1086.90025383685	1104.38201013308	1080.55046990591	998.893653724522	943.110756483334	1232.91020506699	1282.27499792799	782.266829535696	1266.20278617347	1219.1861580827	826.660248861862	703.483566812573
1433F_HUMAN	16	15	15	10	24	13	12	13	13	12	12	12	9	499.153802757102	525.91947766299	571.232074206767	415.596334579195	461.027840180548	408.681327809445	493.164082026795	555.652499102129	535.235199156003	490.143014002632	487.67446323308	472.377285063921	487.027084716397
1433G_HUMAN	22	21	20	17	33	17	14	15	17	16	19	18	15	686.336478791015	736.287268728186	761.642765609023	706.513768784631	633.913280248254	534.429428673889	575.358095697928	641.137498963995	699.922952742465	653.524018670176	772.151233452377	708.565927595882	811.711807860661
1433S_HUMAN	0	8	8	9	8	0	0	0	6	0	0	0	0	0	280.490388086928	304.657106243609	374.036701121275	153.67594672685	0	0	0	247.031630379694	0	0	0	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	22	21	20	12	842.322042152609	771.348567239052	913.971318730827	831.192669158389	883.636693679385	691.614554754445	945.231157218024	683.879998894928	741.094891139081	898.595525671492	853.43031065789	787.295475106536	649.369446288529
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	33	27	23	18	1091.89894353116	1192.08414936944	1218.62842497444	1038.99083644799	1094.9411204288	880.236706051112	1397.29823240925	1196.78999806612	1070.47039831201	1347.89328850724	1097.26754227443	905.389796372516	974.054169432793
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	6	5	4	187.182676033913	0	266.574967963158	0	0	188.622151296667	164.388027342265	0	205.859691983078	0	243.83723161654	196.823868776634	216.456482096176
1A02_HUMAN	8	11	7	10	24	9	4	9	6	6	6	5	4	249.576901378551	385.674283619526	266.574967963158	415.596334579195	461.027840180548	282.933226945	164.388027342265	384.682499378397	247.031630379694	245.071507001316	243.83723161654	196.823868776634	216.456482096176
1A11_HUMAN	0	9	0	5	22	0	0	0	0	0	0	0	0	0	315.551686597794	0	207.798167289597	422.608853498836	0	0	0	0	0	0	0	0
