Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	BOS.39.13.2	BOS.42.10.2	BOS.42.11.2	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	BOS.39.13.2.Norm	BOS.42.10.2.Norm	BOS.42.11.2.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	20	14	18	894.718013229065	612.652170673089	688.880607742616	737.785601919612	689.124038997488	695.575310466005	573.515111788817	927.59601735206	696.003168775344	782.559909242589	651.266094353413	653.358239359469
1433E_HUMAN	34	31	29	26	52	30	30	30	19	25	25	25	1086.44330177815	1117.18925240387	1109.8632013631	1065.69031388388	1053.95441258439	948.511786999098	1228.96095383318	1264.90366002554	777.88589451362	978.199886553236	1162.97516848824	907.441999110373
1433F_HUMAN	16	15	15	10	24	13	12	13	13	16	11	13	511.267436130894	540.575444711549	574.067173118846	409.88088995534	486.440498115874	411.021774366276	491.584381533272	548.124919344399	532.237717298792	626.047927394071	511.709074134824	471.869839537394
1433G_HUMAN	22	21	20	17	33	17	14	15	17	22	18	20	702.99272467998	756.805622596169	765.422897491795	696.797512924078	668.855684909326	537.490012632822	573.515111788817	632.451830012768	696.003168775344	860.815900166848	837.342121311531	725.953599288299
1433S_HUMAN	0	8	8	9	8	0	0	0	6	0	0	0	0	288.30690384616	306.169158996718	368.892800959806	162.146832705291	0	0	0	245.648177214827	0	0	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	22	16	19	862.763798470884	792.843985576939	918.507476990154	819.76177991068	932.344288055425	695.575310466005	942.203397938771	674.615285346953	736.944531644482	860.815900166848	744.304107832472	689.655919323884
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	28	24	29	1118.39751653633	1225.30434134618	1224.67663598687	1024.70222488835	1155.2961830252	885.277667865825	1392.82241434427	1180.57674935717	1064.47543459758	1095.58387293962	1116.45616174871	1052.63271896803
1A01_HUMAN	6	0	7	0	0	6	4	0	5	4	6	8	191.725288549085	0	267.898014122128	0	0	189.70235739982	163.861460511091	0	204.706814345689	156.511981848518	279.114040437177	290.381439715319
1A02_HUMAN	8	11	7	10	24	9	4	9	6	7	8	8	255.633718065447	396.421992788469	267.898014122128	409.88088995534	486.440498115874	284.553536099729	163.861460511091	379.471098007661	245.648177214827	273.895968234906	372.152053916236	290.381439715319
1A11_HUMAN	0	9	0	5	22	0	0	0	0	0	0	0	0	324.34526682693	0	204.94044497767	445.903789939551	0	0	0	0	0	0	0
