Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	ERL.28.4.2	ERL.30.5.4	ERL.39.3.2	ERL.42.9.4	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	ERL.28.4.2.Norm	ERL.30.5.4.Norm	ERL.39.3.2.Norm	ERL.42.9.4.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	27	22	25	17	887.818857739613	620.871346783082	682.617802986778	738.524466739094	637.263674497806	690.730257445509	569.345693057736	901.236706063245	705.541544191163	943.738270422666	875.163713697288	828.850796331592	841.040491899625
1433E_HUMAN	34	31	29	26	52	30	30	30	19	31	27	28	18	1078.06575582667	1132.17716178091	1099.77312703425	1066.75756306758	974.638560996644	941.904896516603	1220.02648512372	1228.9591446317	788.546431743064	1083.55134752232	1074.0645577194	928.312891891383	890.513462011368
1433F_HUMAN	16	15	15	10	24	13	12	13	13	17	17	16	12	507.325061565493	547.827658926249	568.848169155648	410.291370410608	449.833181998451	408.158788490528	488.010594049488	532.548962673736	539.53176908736	594.205577673531	676.262869675177	530.464509652219	593.675641340912
1433G_HUMAN	22	21	20	17	33	17	14	15	17	27	23	22	14	697.571959652553	766.958722496749	758.464225540864	697.495329698034	618.52062524787	533.746108026075	569.345693057736	614.479572315849	705.541544191163	943.738270422666	914.94388250171	729.388700771801	692.621581564397
1433S_HUMAN	0	8	8	9	8	0	0	0	6	8	0	10	0	0	292.174751427333	303.385690216346	369.262233369547	149.944393999484	0	0	0	249.014662655704	279.626154199309	0	331.540318532637	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	23	25	25	14	856.11104139177	803.480566425165	910.157070649037	820.582740821216	862.180265497032	690.730257445509	935.353638594851	655.444877136905	747.043987967113	803.925193323012	994.504220110554	828.850796331592	692.621581564397
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	31	33	30	26	1109.77357217452	1241.74269356616	1213.54276086538	1025.72842602652	1068.35380724632	879.111236748829	1382.69668314022	1147.02853498958	1079.06353817472	1083.55134752232	1312.74557054593	994.620955597911	1286.29722290531
1A01_HUMAN	6	0	7	0	0	6	4	0	5	8	5	4	5	190.24689808706	0	265.462478939302	0	0	188.380979303321	162.670198016496	0	207.512218879754	279.626154199309	198.900844022111	132.616127413055	247.364850558713
1A02_HUMAN	8	11	7	10	24	9	4	9	6	9	5	6	6	253.662530782747	401.740283212583	265.462478939302	410.291370410608	449.833181998451	282.571468954981	162.670198016496	368.687743389509	249.014662655704	314.579423474222	198.900844022111	198.924191119582	296.837820670456
1A11_HUMAN	0	9	0	5	22	0	0	0	0	0	0	0	0	0	328.696595355749	0	205.145685205304	412.34708349858	0	0	0	0	0	0	0	0
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37.9232112770432	0	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	189.616056385216	0	0	0	0	0	0	0	159.120675217689	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	7	0	0	6	0	0	227.539267662259	369.262233369547	0	0	0	0	249.014662655704	244.672884924395	0	0	296.837820670456
1B08_HUMAN	6	0	0	0	17	6	4	0	6	0	0	6	0	190.24689808706	0	0	0	318.631837248903	188.380979303321	162.670198016496	0	249.014662655704	0	0	198.924191119582	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	281.145738749032	0	0	0	0	0	0	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	0	6	0	5	0	182.609219642083	227.539267662259	205.145685205304	0	0	0	327.722438568453	0	0	238.681012826533	0	247.364850558713
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	189.616056385216	0	0	0	0	0	0	0	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	8	0	6	6	190.24689808706	0	265.462478939302	0	0	188.380979303321	0	0	0	279.626154199309	0	198.924191119582	296.837820670456
1C07_HUMAN	0	0	0	6	23	0	0	0	0	0	0	0	0	0	0	0	246.174822246365	431.090132748516	0	0	0	0	0	0	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	6	0	5	0	221.954714434903	0	0	0	412.34708349858	156.984149419434	0	0	0	209.719615649481	0	165.770159266318	0
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	5	2	5	2	126.831265391373	36.5218439284166	151.692845108173	82.0582740821216	93.7152462496773	156.984149419434	122.002648512372	122.89591446317	41.5024437759507	174.766346374568	79.5603376088444	165.770159266318	98.9459402234853
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	2	1	4	0	0	36.5218439284166	0	41.0291370410608	37.4860984998709	31.3968298838868	0	40.9653048210566	0	69.9065385498271	39.7801688044222	132.616127413055	0
2A5G_HUMAN	3	0	0	0	0	0	0	0	0	0	0	2	0	95.12344904353	0	0	0	0	0	0	0	0	0	0	66.3080637065274	0
