Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	GEF.30.7.3	GEF.39.13.3	GEF.42.11.3	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	GEF.30.7.3.Norm	GEF.39.13.3.Norm	GEF.42.11.3.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	18	14	20	880.273747268718	615.353966652513	681.756664896511	731.816338440097	678.023747835752	699.732313312702	572.05458340418	924.45323229331	689.242328695637	748.805579065485	628.756139248786	700.900863078498
1433E_HUMAN	34	31	29	26	52	30	30	30	19	24	24	26	1068.90383596916	1122.11605683694	1098.38573788882	1057.06804441347	1036.97749668997	954.180427244594	1225.83125015181	1260.61804403633	770.329661483359	998.407438753981	1077.86766728363	911.171122002047
1433F_HUMAN	16	15	15	10	24	13	12	13	13	9	13	14	503.013569867839	542.959382340453	568.130554080426	406.564632466721	478.604998472296	413.478185139324	490.332500060725	546.26781908241	527.067663120193	374.402789532743	583.844986445301	490.630604154948
1433G_HUMAN	22	21	20	17	33	17	14	15	17	14	18	17	691.643658568278	760.143135276634	757.507405440567	691.159875193425	658.081872899406	540.70224210527	572.05458340418	630.309022018166	689.242328695637	582.404339273155	808.400750462724	595.765733616723
1433S_HUMAN	0	8	8	9	8	0	0	0	6	0	0	0	0	289.578337248242	303.002962176227	365.908169220049	159.534999490765	0	0	0	243.261998363166	0	0	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	20	19	19	848.835399151978	796.340427432665	909.008886528681	813.129264933442	917.3262470719	699.732313312702	939.803958449723	672.329623486044	729.785995089498	832.006198961651	853.311903266209	665.855819924573
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	22	29	27	1100.3421840859	1230.70793330503	1212.01184870491	1016.4115811668	1136.6868713717	890.568398761621	1389.27541683872	1176.57684110058	1054.13532624039	915.206818857816	1302.42343130106	946.216165155972
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	4	7	188.63008870044	0	265.127591904199	0	0	190.836085448919	163.444166686908	0	202.718331969305	0	179.644611213939	245.315302077474
1A02_HUMAN	8	11	7	10	24	9	4	9	6	8	4	9	251.506784933919	398.170213716332	265.127591904199	406.564632466721	478.604998472296	286.254128173378	163.444166686908	378.1854132109	243.261998363166	332.80247958466	179.644611213939	315.405388385324
1A11_HUMAN	0	9	0	5	22	0	0	0	0	0	0	0	0	325.775629404272	0	203.28231623336	438.721248599604	0	0	0	0	0	0	0
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	37.8753702720284	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	189.376851360142	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	6	0	0	0	0	227.25222163217	365.908169220049	0	0	0	0	243.261998363166	249.601859688495	0	0
1B08_HUMAN	6	0	0	0	17	6	4	0	6	0	3	0	188.63008870044	0	0	0	339.011873917876	190.836085448919	163.444166686908	0	243.261998363166	0	134.733458410454	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	299.128124045185	0	0	0	0	0	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	5	0	6	0	180.986460780151	227.25222163217	203.28231623336	0	0	0	336.164811743022	0	208.001549740413	0	210.270258923549
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	189.376851360142	0	0	0	0	0	0	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	0	0	0	188.63008870044	0	265.127591904199	0	0	190.836085448919	0	0	0	0	0	0
