Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	NIL.30.1.2	NIL.39.2.2	NIL.39.3.3	NIL.42.8.2	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	NIL.30.1.2.Norm	NIL.39.2.2.Norm	NIL.39.3.3.Norm	NIL.42.8.2.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	23	15	27	16	901.48137852413	619.898293687874	705.773636673958	718.013042662418	702.355830066775	688.907275644926	560.144636700049	949.799319640091	703.695070625329	790.610947535881	578.426050488112	876.116206727832	675.880801941229
1433E_HUMAN	34	31	29	26	52	30	30	30	19	29	21	33	22	1094.65595963644	1130.40277084259	1137.07974797471	1037.12995051238	1074.19126951389	939.419012243081	1200.30993578582	1295.18089041831	786.482725993014	996.857281675677	809.796470683357	1070.80869711179	929.33610266919
1433F_HUMAN	16	15	15	10	24	13	12	13	13	15	12	15	10	515.132216299503	546.969082665771	588.144697228298	398.896134812454	495.780585929488	407.081571972002	480.123974314327	561.245052514599	538.119759889957	515.615835349488	462.74084039049	486.731225959907	422.425501213268
1433G_HUMAN	22	21	20	17	33	17	14	15	17	20	17	23	14	708.306797411816	765.756715732079	784.192929637731	678.123429181172	681.698305653047	532.337440271079	560.144636700049	647.590445209153	703.695070625329	687.487780465984	655.549523886527	746.321213138524	591.395701698576
1433S_HUMAN	0	8	8	9	8	0	0	0	6	9	0	8	0	0	291.716844088411	313.677171855092	359.006521331209	165.260195309829	0	0	0	248.362966103057	309.369501209693	0	259.589987178617	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	24	19	24	16	869.285615005411	802.221321243131	941.031515565277	797.792269624909	950.24612303152	688.907275644926	920.237617435794	690.76314155643	745.088898309171	824.98533655918	732.672997284942	778.769961535851	675.880801941229
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	28	28	29	27	1126.85172315516	1239.79658737575	1254.70868742037	997.240337031136	1177.47889158254	876.791078093542	1360.35126055726	1208.83549772375	1076.23951977991	962.482892652377	1079.72862757781	941.013703522486	1140.54885327582
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	0	20	0	193.174581112314	0	274.467525373206	0	0	187.883802448616	160.041324771442	0	206.969138419214	0	0	648.974967946542	0
1A02_HUMAN	8	11	7	10	24	9	4	9	6	15	17	18	9	257.566108149751	401.110660621565	274.467525373206	398.896134812454	495.780585929488	281.825703672924	160.041324771442	388.554267125492	248.362966103057	515.615835349488	655.549523886527	584.077471151888	380.182951091941
1A11_HUMAN	0	9	0	5	22	0	0	0	0	11	17	0	9	0	328.181449599463	0	199.448067406227	454.465537102031	0	0	0	0	378.118279256291	655.549523886527	0	380.182951091941
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	39.2096464818865	0	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	196.048232409433	0	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	13	0	18	8	0	0	235.257878891319	359.006521331209	0	0	0	0	248.362966103057	446.867057302889	0	584.077471151888	337.940400970615
1B08_HUMAN	6	0	0	0	17	6	4	0	6	0	15	18	0	193.174581112314	0	0	0	351.177915033388	187.883802448616	160.041324771442	0	248.362966103057	0	578.426050488112	584.077471151888	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	13	14	0	0	0	0	0	309.86286620593	0	0	0	0	0	501.302577089697	454.28247756258	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	12	0	0	8	0	182.323027555257	235.257878891319	199.448067406227	0	0	0	345.381570778215	0	412.49266827959	0	0	337.940400970615
1B67_HUMAN	0	0	5	0	0	0	0	0	0	9	0	0	0	0	0	196.048232409433	0	0	0	0	0	0	309.369501209693	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	12	0	15	0	193.174581112314	0	274.467525373206	0	0	187.883802448616	0	0	0	412.49266827959	0	486.731225959907	0
1C07_HUMAN	0	0	0	6	23	0	0	0	0	0	14	0	0	0	0	0	239.337680887473	475.12306151576	0	0	0	0	0	539.864313788905	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	0	14	15	7	225.370344631032	0	0	0	454.465537102031	156.569835373847	0	0	0	0	539.864313788905	486.731225959907	295.697850849288
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	2	2	2	2	128.783054074876	36.4646055110514	156.838585927546	79.7792269624909	103.287622068643	156.569835373847	120.030993578582	129.518089041831	41.3938276838429	68.7487780465984	77.123473398415	64.8974967946542	84.4851002426537
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	1	0	0	0	0	36.4646055110514	0	39.8896134812454	41.3150488274574	31.3139670747694	0	43.1726963472769	0	34.3743890232992	0	0	0
2A5G_HUMAN	3	0	0	0	0	0	0	0	0	0	0	0	0	96.5872905561568	0	0	0	0	0	0	0	0	0	0	0	0
2AAA_HUMAN	14	18	22	20	31	22	22	18	17	20	16	22	19	450.740689262065	656.362899198925	862.612222601504	797.792269624909	640.383256825589	688.907275644926	880.227286242934	777.108534250984	703.695070625329	687.487780465984	616.98778718732	713.872464741196	802.60845230521
2ABA_HUMAN	10	5	4	3	10	6	2	5	6	8	5	10	5	321.957635187189	182.323027555257	156.838585927546	119.668840443736	206.575244137287	187.883802448616	80.0206623857212	215.863481736384	248.362966103057	274.995112186393	192.808683496037	324.487483973271	211.212750606634
