Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	PAZ.30.1.3	PAZ.39.2.3	PAZ.39.3.4	PAZ.42.8.3	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	PAZ.30.1.3.Norm	PAZ.39.2.3.Norm	PAZ.39.3.4.Norm	PAZ.42.8.3.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	20	22	24	22	890.248502620714	609.591703201142	685.439345648114	734.100037836055	685.681560856634	692.100605382316	570.650151166265	922.962266630024	692.526326350924	704.598839958463	867.835884074611	779.884305026579	967.916539841437
1433E_HUMAN	34	31	29	26	52	30	30	30	19	27	28	26	23	1081.01603889658	1111.60839995502	1104.31894576641	1060.36672131875	1048.68944601603	943.773552794068	1222.82175249914	1258.58490904094	774.000011803974	951.208433943925	1104.51839791314	844.874663778794	1011.91274619787
1433F_HUMAN	16	15	15	10	24	13	12	13	13	11	12	19	12	508.713430068979	537.875032236302	571.199454706762	407.833354353364	484.010513545859	408.968539544096	489.128700999655	545.386793917741	529.578955444824	387.529361977155	473.36502767706	617.408408146042	527.954476277148
1433G_HUMAN	22	21	20	17	33	17	14	15	17	18	22	25	19	699.480966344846	753.025045130822	761.599272942349	693.316702400718	665.514456125557	534.805013249972	570.650151166265	629.292454520471	692.526326350924	634.138955962617	867.835884074611	812.379484402687	835.92792077215
1433S_HUMAN	0	8	8	9	8	0	0	0	6	0	7	0	7	0	286.866683859361	304.63970917694	367.050018918027	161.33683784862	0	0	0	244.42105635915	0	276.129599478285	0	307.973444495003
1433T_HUMAN	27	22	24	20	46	22	23	16	18	23	19	26	20	858.453913241402	788.883380613242	913.919127530819	815.666708706727	927.686817629564	692.100605382316	937.496676916006	671.245284821835	733.263169077449	810.288665952232	749.494627155345	844.874663778794	879.924127128579
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	28	30	35	25	1112.81062827589	1219.18340640228	1218.55883670776	1019.58338588341	1149.52496967142	880.85531594113	1385.86465283236	1174.67924843821	1059.15791088965	986.438375941848	1183.41256919265	1137.33127816376	1099.90515891072
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	0	7	0	190.767536275867	0	266.559745529822	0	0	188.754710558814	163.042900333218	0	203.684213632625	0	0	227.466255632752	0
1A02_HUMAN	8	11	7	10	24	9	4	9	6	15	8	10	8	254.35671503449	394.441690306621	266.559745529822	407.833354353364	484.010513545859	283.13206583822	163.042900333218	377.575472712282	244.42105635915	528.449129968847	315.57668511804	324.951793761075	351.969650851432
1A11_HUMAN	0	9	0	5	22	0	0	0	0	11	4	0	6	0	322.725019341781	0	203.916677176682	443.676304083704	0	0	0	0	387.529361977155	157.78834255902	0	263.977238138574
