Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	REG.39.2.4	REG.39.3.5	REG.42.8.4	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	REG.39.2.4.Norm	REG.39.3.5.Norm	REG.42.8.4.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	15	25	24	904.769292497945	602.960426944462	682.918652793945	744.85964931351	662.785016710258	712.034009671361	569.575549375749	936.716186341375	702.085849452103	574.859686558038	816.192490662865	1021.71158935682
1433E_HUMAN	34	31	29	26	52	30	30	30	19	32	33	28	1098.64842660465	1099.51607266343	1100.25782950136	1075.90838234174	1013.67120202745	970.955467733674	1220.5190343766	1277.34025410188	784.684184681762	1226.36733132381	1077.37408767498	1191.99685424962
1433F_HUMAN	16	15	15	10	24	13	12	13	13	13	18	12	517.01102428454	532.023906127467	569.098877328288	413.810916285283	467.848247089594	420.747369351259	488.207613750642	553.514110110813	536.889178992785	498.211728350299	587.658593277263	510.855794678409
1433G_HUMAN	22	21	20	17	33	17	14	15	17	19	20	17	710.890158391243	744.833468578454	758.798503104384	703.478557684982	643.291339748192	550.208098382415	569.575549375749	638.670127050938	702.085849452103	728.155602973514	652.953992530292	723.712375794412
1433S_HUMAN	0	8	8	9	8	0	0	0	6	0	0	8	0	283.746083267982	303.519401241754	372.429824656755	155.949415696531	0	0	0	247.795005688978	0	0	340.570529785606
1433T_HUMAN	27	22	24	20	46	22	23	16	18	23	25	16	872.456103480161	780.301728986952	910.558203725261	827.621832570567	896.709140255055	712.034009671361	935.73125968873	681.248135521	743.385017066933	881.451519388991	816.192490662865	681.141059571211
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	28	29	26	1130.96161562243	1205.92085388892	1214.07760496701	1034.52729071321	1111.13958683779	906.225103218095	1383.25490562682	1192.18423716175	1073.77835798557	1073.07141490834	946.783289168923	1106.85422180322
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	5	0	193.879134106703	0	265.579476086534	0	0	194.191093546735	162.735871250214	0	206.495838074148	0	163.238498132573	0
1A02_HUMAN	8	11	7	10	24	9	4	9	6	2	9	3	258.50551214227	390.150864493476	265.579476086534	413.810916285283	467.848247089594	291.286640320102	162.735871250214	383.202076230563	247.795005688978	76.6479582077384	293.829296638631	127.713948669602
1A11_HUMAN	0	9	0	5	22	0	0	0	0	0	0	2	0	319.21434367648	0	206.905458142642	428.860893165461	0	0	0	0	0	0	85.1426324464014
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	37.9399251552192	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	189.699625776096	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	0	0	0	0	0	227.639550931315	372.429824656755	0	0	0	0	247.795005688978	0	0	0
1B08_HUMAN	6	0	0	0	17	6	4	0	6	1	6	0	193.879134106703	0	0	0	331.392508355129	194.191093546735	162.735871250214	0	247.795005688978	38.3239791038692	195.886197759087	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	292.405154430996	0	0	0	0	0	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	0	0	3	0	177.341302042489	227.639550931315	206.905458142642	0	0	0	340.6240677605	0	0	0	127.713948669602
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	189.699625776096	0	0	0	0	0	0	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	0	4	0	193.879134106703	0	265.579476086534	0	0	194.191093546735	0	0	0	0	130.590798506058	0
1C07_HUMAN	0	0	0	6	23	0	0	0	0	0	0	0	0	0	0	248.28654977117	448.354570127527	0	0	0	0	0	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	0	3	2	226.192323124486	0	0	0	428.860893165461	161.825911288946	0	0	0	0	97.9430988795437	85.1426324464014
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	3	3	2	129.252756071135	35.4682604084978	151.759700620877	82.7621832570567	97.4683848103321	161.825911288946	122.05190343766	127.734025410188	41.2991676148296	114.971937311608	97.9430988795437	85.1426324464014
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	2	0	0	0	35.4682604084978	0	41.3810916285283	38.9873539241328	32.3651822577891	0	42.5780084700625	0	76.6479582077384	0	0
2A5G_HUMAN	3	0	0	0	0	0	0	0	0	0	0	0	96.9395670533513	0	0	0	0	0	0	0	0	0	0	0
2AAA_HUMAN	14	18	22	20	31	22	22	18	17	29	19	21	452.384646248973	638.42868735296	834.678353414822	827.621832570567	604.303985824059	712.034009671361	895.047291876177	766.404152461125	702.085849452103	1111.39539401221	620.306292903777	893.997640687215
2ABA_HUMAN	10	5	4	3	10	6	2	5	6	9	9	2	323.131890177838	177.341302042489	151.759700620877	124.143274885585	194.936769620664	194.191093546735	81.367935625107	212.890042350313	247.795005688978	344.915811934823	293.829296638631	85.1426324464014
3BHS7_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	32.3131890177838	0	0	0	0	0	0	0	0	0	0	0
3HAO_HUMAN	0	1	0	0	4	1	0	0	1	4	3	0	0	35.4682604084978	0	0	77.9747078482657	32.3651822577891	0	0	41.2991676148296	153.295916415477	97.9430988795437	0
