Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	RUX.30.5.5	RUX.39.6.4	RUX.39.12.4	RUX.42.9.5	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	RUX.30.5.5.Norm	RUX.39.6.4.Norm	RUX.39.12.4.Norm	RUX.42.9.5.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	23	17	17	11	884.202858427615	595.336366167438	672.574487093751	746.110929122235	664.734491145609	682.365637575264	575.199180787171	943.925007094219	692.228010727337	939.61250431905	740.591466841621	648.023736663687	570.06996369614
1433E_HUMAN	34	31	29	26	52	30	30	30	19	32	22	22	19	1073.67489951925	1085.61337359945	1083.5922292066	1077.71578650989	1016.65275116387	930.498596693542	1232.56967311537	1287.17046421939	773.66660022467	1307.28696253085	958.412486500922	838.618953329477	984.666300929697
1433F_HUMAN	16	15	15	10	24	13	12	13	13	17	13	13	8	505.258776244351	525.296793677152	560.478739244793	414.506071734575	469.224346691018	403.216058567202	493.027869246146	557.773867828402	529.350831732669	694.496198844515	566.334651114181	495.547563331055	414.596337233557
1433G_HUMAN	22	21	20	17	33	17	14	15	17	20	21	15	11	694.730817335983	735.415511148012	747.304985659723	704.660321948778	645.18347670015	527.282538126341	575.199180787171	643.585232109695	692.228010727337	817.054351581783	914.848282569062	571.785649997371	570.06996369614
1433S_HUMAN	0	8	8	9	8	0	0	0	6	0	0	0	0	0	280.158289961147	298.921994263889	373.055464561118	156.408115563673	0	0	0	244.315768492001	0	0	0	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	21	20	19	16	852.624184912343	770.435297393156	896.765982791668	829.01214346915	899.346664491118	682.365637575264	944.970082721781	686.490914250341	732.947305476003	857.907069160872	871.284078637202	724.261823330003	829.192674467113
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	30	29	29	24	1105.25357303452	1190.67273233488	1195.68797705556	1036.26517933644	1114.40782339117	868.465356913973	1396.91229619741	1201.3590999381	1058.70166346534	1225.58152737267	1263.36191402394	1105.45225666158	1243.78901170067
1A01_HUMAN	6	0	7	0	0	6	4	0	5	6	5	6	4	189.472041091632	0	261.556744980903	0	0	186.099719338708	164.342623082049	0	203.596473743334	245.116305474535	217.8210196593	228.714259998948	207.298168616778
1A02_HUMAN	8	11	7	10	24	9	4	9	6	8	6	7	7	252.629388122176	385.217648696578	261.556744980903	414.506071734575	469.224346691018	279.149579008063	164.342623082049	386.151139265817	244.315768492001	326.821740632713	261.385223591161	266.833303332106	362.771795079362
1A11_HUMAN	0	9	0	5	22	0	0	0	0	0	0	0	0	0	315.178076206291	0	207.253035867288	430.1223178001	0	0	0	0	0	0	0	0
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37.3652492829862	0	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	186.826246414931	0	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	0	0	6	0	0	0	224.191495697917	373.055464561118	0	0	0	0	244.315768492001	0	0	228.714259998948	0
1B08_HUMAN	6	0	0	0	17	6	4	0	6	0	4	0	0	189.472041091632	0	0	0	332.367245572805	186.099719338708	164.342623082049	0	244.315768492001	0	174.25681572744	0	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	293.265216681886	0	0	0	0	0	0	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	6	0	7	3	0	175.098931225717	224.191495697917	207.253035867288	0	0	0	343.245457125171	0	245.116305474535	0	266.833303332106	155.473626462584
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	186.826246414931	0	0	0	0	0	0	0	0	0	103.649084308389
1B73_HUMAN-DECOY	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	43.5642039318601	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	7	0	6	6	189.472041091632	0	261.556744980903	0	0	186.099719338708	0	0	0	285.969023053624	0	228.714259998948	310.947252925168
1C07_HUMAN	0	0	0	6	23	0	0	0	0	0	0	0	0	0	0	0	248.703643040745	449.673332245559	0	0	0	0	0	0	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	0	0	0	0	221.050714606904	0	0	0	430.1223178001	155.083099448924	0	0	0	0	0	0	0
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	3	1	2	1	126.314694061088	35.0197862451434	149.460997131945	82.901214346915	97.7550722272955	155.083099448924	123.256967311537	128.717046421939	40.7192947486669	122.558152737267	43.5642039318601	76.2380866663161	51.8245421541946
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	0	0	0	0	0	35.0197862451434	0	41.4506071734575	39.1020288909182	31.0166198897847	0	42.9056821406463	0	0	0	0	0
