Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	SUN.28.4.3	SUN.30.1.5	SUN.39.2.5	SUN.42.8.5	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	SUN.28.4.3.Norm	SUN.30.1.5.Norm	SUN.39.2.5.Norm	SUN.42.8.5.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	25	16	15	20	893.256391953815	588.588502268812	683.303693321548	728.713434043745	672.269408049131	677.914529952019	566.462893149748	941.164582072112	688.123106590326	811.694558639436	574.357561206321	618.75481378076	864.414051593298
1433E_HUMAN	34	31	29	26	52	30	30	30	19	29	24	23	21	1084.66847594392	1073.30844531372	1100.87817257361	1052.58607139652	1028.1767417222	924.428904480026	1213.84905674946	1283.40624828015	769.078766189188	941.565688021746	861.536341809482	948.757381130499	907.634754172962
1433F_HUMAN	16	15	15	10	24	13	12	13	13	16	15	13	13	510.432223973608	519.34279611954	569.419744434623	404.84079669097	474.543111564092	400.585858608011	485.539622699784	556.142707588066	526.211787392603	519.484517529239	538.460213630926	536.254171943326	561.869133535643
1433G_HUMAN	22	21	20	17	33	17	14	15	17	22	21	24	20	701.844307963711	727.079914567355	759.226325912831	688.229354374648	652.496778400627	523.843045872015	566.462893149748	641.703124140076	688.123106590326	714.291211602704	753.844299083297	990.007702049217	864.414051593298
1433S_HUMAN	0	8	8	9	8	0	0	0	6	9	7	6	8	0	276.982824597088	303.690530365132	364.356717021873	158.181037188031	0	0	0	242.866978796586	292.210041110197	251.281433027766	247.501925512304	345.765620637319
1433T_HUMAN	27	22	24	20	46	22	23	16	18	22	22	22	22	861.354377955464	761.702767641991	911.071591095397	809.681593381939	909.540963831177	677.914529952019	930.617610174586	684.483332416081	728.600936389757	714.291211602704	789.741646658692	907.507060211782	950.855456752627
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	34	28	24	22	1116.57048994227	1177.17700453762	1214.76212146053	1012.10199172742	1127.03988996472	862.800310848025	1375.69559764939	1197.84583172814	1052.42357478521	1103.90459974963	1005.12573211106	990.007702049217	950.855456752627
1A01_HUMAN	6	0	7	0	0	6	4	0	5	7	0	0	0	191.412083990103	0	265.729214069491	0	0	184.885780896005	161.846540899928	0	202.389148997155	227.274476419042	0	0	0
1A02_HUMAN	8	11	7	10	24	9	4	9	6	9	8	3	6	255.216111986804	380.851383820996	265.729214069491	404.84079669097	474.543111564092	277.328671344008	161.846540899928	385.021874484046	242.866978796586	292.210041110197	287.178780603161	123.750962756152	259.324215477989
1A11_HUMAN	0	9	0	5	22	0	0	0	0	0	6	3	5	0	311.605677671724	0	202.420398345485	434.997852267085	0	0	0	0	0	215.38408545237	123.750962756152	216.103512898324
