Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	TOF.30.7.4	TOF.39.13.4	TOF.42.10.4	TOF.42.11.4	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	TOF.30.7.4.Norm	TOF.39.13.4.Norm	TOF.42.10.4.Norm	TOF.42.11.4.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	14	20	17	22	901.134867334605	593.779822550772	689.330396711447	735.140649008541	678.198789611113	683.893701198502	571.459066698588	949.46560522282	694.192316957091	633.830315858155	825.695891232819	747.639528380075	797.050020809125
1433E_HUMAN	34	31	29	26	52	30	30	30	19	24	22	21	26	1094.23519604916	1082.77497053376	1110.58786136844	1061.86982634567	1037.24520764053	932.582319816139	1224.55514292554	1294.72582530385	775.862001304984	1086.56625575684	908.265480356101	923.554711528328	941.968206410784
1433F_HUMAN	16	15	15	10	24	13	12	13	13	10	15	17	16	514.934209905489	523.923372838917	574.441997259539	408.411471671412	478.72855737255	404.11900525366	489.822057170218	561.047857631666	530.852948261305	452.735939898682	619.271918424614	747.639528380075	579.672742406636
1433G_HUMAN	22	21	20	17	33	17	14	15	17	19	19	17	27	708.034538620047	733.492721974484	765.922663012719	694.2995018414	658.251766387257	528.463314562479	571.459066698588	647.362912651923	694.192316957091	860.198285807496	784.411096671178	747.639528380075	978.197752811199
1433S_HUMAN	0	8	8	9	8	0	0	0	6	8	0	0	0	0	279.425798847422	306.369065205087	367.57032450427	159.57618579085	0	0	0	245.009053043679	362.188751918946	0	0	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	18	20	14	17	868.951479215512	768.420946830411	919.107195615262	816.822943342823	917.563068297388	683.893701198502	938.825609576251	690.520440162051	735.027159131037	814.924691817628	825.695891232819	615.703141018885	615.902288807051
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	20	29	29	31	1126.41858416826	1187.55964510154	1225.47626082035	1021.02867917853	1136.98032375981	870.41016516173	1387.82916198228	1208.41077028359	1061.70589652261	905.471879797364	1197.25904228759	1275.38507782483	1123.11593841286
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	4	0	7	193.100328714558	0	268.072932054451	0	0	186.516463963228	163.274019056739	0	204.174210869733	0	165.139178246564	0	253.606824802903
1A02_HUMAN	8	11	7	10	24	9	4	9	6	8	4	5	9	257.467104952744	384.210473415206	268.072932054451	408.411471671412	478.72855737255	279.774695944842	163.274019056739	388.417747591154	245.009053043679	362.188751918946	165.139178246564	219.893978935316	326.065917603733
1A11_HUMAN	0	9	0	5	22	0	0	0	0	6	0	0	0	0	314.35402370335	0	204.205735835706	438.834510924838	0	0	0	0	271.641563939209	0	0	0
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	38.2961331506359	0	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	191.48066575318	0	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	0	0	0	0	0	0	229.776798903816	367.57032450427	0	0	0	0	245.009053043679	0	0	0	0
1B08_HUMAN	6	0	0	0	17	6	4	0	6	0	2	0	0	193.100328714558	0	0	0	339.099394805556	186.516463963228	163.274019056739	0	245.009053043679	0	82.5695891232819	0	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	299.205348357844	0	0	0	0	0	0	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	7	0	4	0	0	174.641124279639	229.776798903816	204.205735835706	0	0	0	345.260220081025	0	316.915157929077	0	175.915183148253	0
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	191.48066575318	0	0	0	0	0	0	0	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	0	0	4	0	193.100328714558	0	268.072932054451	0	0	186.516463963228	0	0	0	0	0	175.915183148253	0
1C07_HUMAN	0	0	0	6	23	0	0	0	0	0	0	0	0	0	0	0	245.046883002847	458.781534148694	0	0	0	0	0	0	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	5	0	0	5	225.283716833651	0	0	0	438.834510924838	155.430386636023	0	0	0	226.367969949341	0	0	181.147732002074
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	1	2	0	1	128.733552476372	34.9282248559278	153.184532602544	81.6822943342823	99.7351161192813	155.430386636023	122.455514292554	129.472582530385	40.8348421739465	45.2735939898682	82.5695891232819	0	36.2295464004148
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	1	1	0	0	0	34.9282248559278	0	40.8411471671412	39.8940464477125	31.0860773272046	0	43.1575275101282	0	45.2735939898682	41.2847945616409	0	0
2A5G_HUMAN	3	0	0	0	0	0	0	0	0	0	0	0	0	96.5501643572791	0	0	0	0	0	0	0	0	0	0	0	0
2AAA_HUMAN	14	18	22	20	31	22	22	18	17	14	17	10	10	450.567433667303	628.7080474067	842.51492931399	816.822943342823	618.357719939544	683.893701198502	898.007104812066	776.835495182307	694.192316957091	633.830315858155	701.841507547896	439.787957870632	362.295464004148
2ABA_HUMAN	10	5	4	3	10	6	2	5	6	7	6	1	7	321.83388119093	174.641124279639	153.184532602544	122.523441501423	199.470232238563	186.516463963228	81.6370095283696	215.787637550641	245.009053043679	316.915157929077	247.708767369846	43.9787957870632	253.606824802903
3BHS7_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	0	32.183388119093	0	0	0	0	0	0	0	0	0	0	0	0
3BP5_HUMAN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41.2847945616409	0	0
3HAO_HUMAN	0	1	0	0	4	1	0	0	1	0	2	0	1	0	34.9282248559278	0	0	79.7880928954251	31.0860773272046	0	0	40.8348421739465	0	82.5695891232819	0	36.2295464004148
3HIDH_HUMAN	8	7	6	4	19	6	5	3	2	1	5	5	5	257.467104952744	244.497573991495	229.776798903816	163.364588668565	378.993441253269	186.516463963228	204.092523820924	129.472582530385	81.669684347893	45.2735939898682	206.423972808205	219.893978935316	181.147732002074
3MG_HUMAN	1	0	1	1	0	1	0	0	0	0	0	0	0	32.183388119093	0	38.2961331506359	40.8411471671412	0	31.0860773272046	0	0	0	0	0	0	0
4F2_HUMAN	15	9	10	10	27	14	11	10	8	7	9	3	7	482.750821786396	314.35402370335	382.961331506359	408.411471671412	538.569627044119	435.205082580865	449.003552406033	431.575275101282	326.678737391572	316.915157929077	371.563151054768	131.93638736119	253.606824802903
5NTC_HUMAN	4	3	6	5	9	7	4	3	6	2	2	0	1	128.733552476372	104.784674567783	229.776798903816	204.205735835706	179.523209014706	217.602541290432	163.274019056739	129.472582530385	245.009053043679	90.5471879797364	82.5695891232819	0	36.2295464004148
5NTD_HUMAN	2	2	1	1	16	2	3	1	3	0	0	4	3	64.3667762381861	69.8564497118556	38.2961331506359	40.8411471671412	319.1523715817	62.1721546544093	122.455514292554	43.1575275101282	122.50452652184	0	0	175.915183148253	108.688639201244
6PGD_HUMAN	13	16	14	13	23	14	11	9	11	14	10	4	9	418.384045548209	558.851597694845	536.145864108903	530.934913172835	458.781534148694	435.205082580865	449.003552406033	388.417747591154	449.183263913412	633.830315858155	412.847945616409	175.915183148253	326.065917603733
6PGL_HUMAN	13	13	12	10	28	14	9	13	17	12	12	14	14	418.384045548209	454.066923127061	459.553597807631	408.411471671412	558.516650267975	435.205082580865	367.366542877663	561.047857631666	694.192316957091	543.283127878418	495.417534739691	615.703141018885	507.213649605807
A16A1_HUMAN	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	31.0860773272046	0	43.1575275101282	0	45.2735939898682	0	0	0
A2MG_HUMAN	4	2	0	1	0	2	0	1	0	0	0	0	0	128.733552476372	69.8564497118556	0	40.8411471671412	0	62.1721546544093	0	43.1575275101282	0	0	0	0	0
A4_HUMAN	2	0	0	0	8	0	0	1	0	0	3	4	1	64.3667762381861	0	0	0	159.57618579085	0	0	43.1575275101282	0	0	123.854383684923	175.915183148253	36.2295464004148
AAAS_HUMAN	0	2	0	0	0	0	0	0	0	0	0	0	0	0	69.8564497118556	0	0	0	0	0	0	0	0	0	0	0
AAAT_HUMAN	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	59.8410696715688	0	0	43.1575275101282	0	0	0	0	0
AAGAB_HUMAN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19.9470232238563	0	0	0	0	0	0	0	0
AAK1_HUMAN	2	2	1	2	4	2	0	0	1	0	0	0	0	64.3667762381861	69.8564497118556	38.2961331506359	81.6822943342823	79.7880928954251	62.1721546544093	0	0	40.8348421739465	0	0	0	0
AAKB1_HUMAN	3	1	0	1	4	2	0	0	0	1	2	0	1	96.5501643572791	34.9282248559278	0	40.8411471671412	79.7880928954251	62.1721546544093	0	0	0	45.2735939898682	82.5695891232819	0	36.2295464004148
AAKB2_HUMAN	9	2	1	2	5	6	2	0	1	0	0	2	1	289.650493071837	69.8564497118556	38.2961331506359	81.6822943342823	99.7351161192813	186.516463963228	81.6370095283696	0	40.8348421739465	0	0	87.9575915741265	36.2295464004148
AAKG1_HUMAN	4	6	7	8	11	6	4	3	3	6	3	2	2	128.733552476372	209.569349135567	268.072932054451	326.729177337129	219.417255462419	186.516463963228	163.274019056739	129.472582530385	122.50452652184	271.641563939209	123.854383684923	87.9575915741265	72.4590928008296
AAKG2_HUMAN	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	135.820781969605	0	0	0
AAMDC_HUMAN	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	87.9575915741265	0
AAPK1_HUMAN	10	2	8	10	6	12	4	5	5	6	4	3	2	321.83388119093	69.8564497118556	306.369065205087	408.411471671412	119.682139343138	373.032927926455	163.274019056739	215.787637550641	204.174210869733	271.641563939209	165.139178246564	131.93638736119	72.4590928008296
AAPK2_HUMAN	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	90.5471879797364	0	0	0
AASD1_HUMAN	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	19.9470232238563	0	40.8185047641848	0	0	0	0	0	36.2295464004148
AASS_HUMAN	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	38.2961331506359	0	39.8940464477125	0	40.8185047641848	0	0	0	0	0	0
AATC_HUMAN	11	16	13	8	26	11	9	9	8	12	8	9	11	354.017269310023	558.851597694845	497.849730958267	326.729177337129	518.622603820263	341.946850599251	367.366542877663	388.417747591154	326.678737391572	543.283127878418	330.278356493127	395.809162083569	398.525010404563
AATM_HUMAN	12	9	11	10	15	11	5	10	3	10	5	4	6	386.200657429116	314.35402370335	421.257464656995	408.411471671412	299.205348357844	341.946850599251	204.092523820924	431.575275101282	122.50452652184	452.735939898682	206.423972808205	175.915183148253	217.377278402489
ABC3C_HUMAN	0	0	1	1	0	1	0	2	0	2	0	0	0	0	0	38.2961331506359	40.8411471671412	0	31.0860773272046	0	86.3150550202564	0	90.5471879797364	0	0	0
ABC3D_HUMAN	1	0	0	0	1	0	1	0	0	0	0	0	0	32.183388119093	0	0	0	19.9470232238563	0	40.8185047641848	0	0	0	0	0	0
ABCA1_HUMAN	0	2	0	1	0	1	0	0	0	0	0	0	0	0	69.8564497118556	0	40.8411471671412	0	31.0860773272046	0	0	0	0	0	0	0
ABCA8_HUMAN	0	1	0	2	2	2	0	0	1	2	0	0	0	0	34.9282248559278	0	81.6822943342823	39.8940464477125	62.1721546544093	0	0	40.8348421739465	90.5471879797364	0	0	0
ABCB6_HUMAN	0	2	0	2	1	1	1	0	0	0	0	0	0	0	69.8564497118556	0	81.6822943342823	19.9470232238563	31.0860773272046	40.8185047641848	0	0	0	0	0	0
ABCB7_HUMAN	1	1	1	1	1	1	1	0	0	0	0	0	0	32.183388119093	34.9282248559278	38.2961331506359	40.8411471671412	19.9470232238563	31.0860773272046	40.8185047641848	0	0	0	0	0	0
ABCD3_HUMAN	0	2	0	1	1	2	0	0	1	1	0	0	0	0	69.8564497118556	0	40.8411471671412	19.9470232238563	62.1721546544093	0	0	40.8348421739465	45.2735939898682	0	0	0
ABCD4_HUMAN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31.0860773272046	0	0	0	0	0	0	0
ABCE1_HUMAN	3	3	0	1	4	4	3	1	2	2	0	0	2	96.5501643572791	104.784674567783	0	40.8411471671412	79.7880928954251	124.344309308819	122.455514292554	43.1575275101282	81.669684347893	90.5471879797364	0	0	72.4590928008296
ABCF1_HUMAN	9	5	4	5	7	6	6	4	5	5	2	1	8	289.650493071837	174.641124279639	153.184532602544	204.205735835706	139.629162566994	186.516463963228	244.911028585109	172.630110040513	204.174210869733	226.367969949341	82.5695891232819	43.9787957870632	289.836371203318
ABCF2_HUMAN	0	1	0	0	1	1	1	0	1	0	0	0	0	0	34.9282248559278	0	0	19.9470232238563	31.0860773272046	40.8185047641848	0	40.8348421739465	0	0	0	0
ABCF3_HUMAN	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	19.9470232238563	0	0	43.1575275101282	40.8348421739465	0	0	0	0
ABD12_HUMAN	1	2	3	3	1	3	1	1	1	2	1	0	0	32.183388119093	69.8564497118556	114.888399451908	122.523441501423	19.9470232238563	93.2582319816139	40.8185047641848	43.1575275101282	40.8348421739465	90.5471879797364	41.2847945616409	0	0
ABHD4_HUMAN	1	0	1	0	0	0	1	0	0	0	0	0	0	32.183388119093	0	38.2961331506359	0	0	0	40.8185047641848	0	0	0	0	0	0
ABHD5_HUMAN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40.8411471671412	0	0	0	0	0	0	0	0	0
ABHDA_HUMAN	3	2	2	1	3	2	3	4	4	0	1	2	2	96.5501643572791	69.8564497118556	76.5922663012718	40.8411471671412	59.8410696715688	62.1721546544093	122.455514292554	172.630110040513	163.339368695786	0	41.2847945616409	87.9575915741265	72.4590928008296
ABHEB_HUMAN	7	8	7	7	15	7	5	5	6	6	6	6	8	225.283716833651	279.425798847422	268.072932054451	285.888030169988	299.205348357844	217.602541290432	204.092523820924	215.787637550641	245.009053043679	271.641563939209	247.708767369846	263.872774722379	289.836371203318
ABHGA_HUMAN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19.9470232238563	0	0	0	0	0	0	0	0
ABI1_HUMAN	5	2	2	3	7	1	1	3	1	2	4	6	5	160.916940595465	69.8564497118556	76.5922663012718	122.523441501423	139.629162566994	31.0860773272046	40.8185047641848	129.472582530385	40.8348421739465	90.5471879797364	165.139178246564	263.872774722379	181.147732002074
ABI2_HUMAN	1	2	0	0	2	2	1	0	2	0	1	4	1	32.183388119093	69.8564497118556	0	0	39.8940464477125	62.1721546544093	40.8185047641848	0	81.669684347893	0	41.2847945616409	175.915183148253	36.2295464004148
ABL1_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34.9282248559278	0	0	0	0	0	0	0	0	0	0	0
ABLM1_HUMAN	13	5	3	4	9	11	4	2	6	3	7	10	12	418.384045548209	174.641124279639	114.888399451908	163.364588668565	179.523209014706	341.946850599251	163.274019056739	86.3150550202564	245.009053043679	135.820781969605	288.993561931487	439.787957870632	434.754556804977
ABR_HUMAN	1	0	0	0	0	1	0	0	0	0	0	0	0	32.183388119093	0	0	0	0	31.0860773272046	0	0	0	0	0	0	0
ABRAL_HUMAN	0	1	1	0	0	1	0	0	0	0	0	0	0	0	34.9282248559278	38.2961331506359	0	0	31.0860773272046	0	0	0	0	0	0	0
