Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	VAN.30.7.5	VAN.42.10.5	VAN.42.11.5	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	VAN.30.7.5.Norm	VAN.42.10.5.Norm	VAN.42.11.5.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	15	16	21	854.414997126531	608.68431350743	717.487650708159	733.00731494467	689.339745588325	668.512134117682	582.410283128238	941.3884520734	716.14683496157	622.009583033993	733.078390228071	763.336011313788
1433E_HUMAN	34	31	29	26	52	30	30	30	19	25	21	27	1037.50392508222	1109.95374816061	1155.95232614092	1058.78834380897	1054.28431678214	911.607455615021	1248.0220352748	1283.71152555464	800.399403780578	1036.68263838999	962.165387174343	981.432014546299
1433F_HUMAN	16	15	15	10	24	13	12	13	13	10	12	14	488.237141215161	537.074394271262	597.906375590132	407.226286080373	486.592761591759	395.029897433176	499.208814109918	556.274994407009	547.641697323554	414.673055355995	549.808792671053	508.890674209192
1433G_HUMAN	22	21	20	17	33	17	14	15	17	15	20	17	671.326069170846	751.904151979767	797.208500786843	692.284686336633	669.065047188668	516.577558181845	582.410283128238	641.855762777319	716.14683496157	622.009583033993	916.347987785089	617.938675825447
1433S_HUMAN	0	8	8	9	8	0	0	0	6	7	0	0	0	286.439676944673	318.883400314737	366.503657472335	162.197587197253	0	0	0	252.757706457025	290.271138749197	0	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	21	17	22	823.900175800584	787.709111597851	956.650200944212	814.452572160745	932.636126384204	668.512134117682	956.816893710676	684.646146962473	758.273119371074	870.81341624759	778.895789617326	799.685345185873
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	25	26	29	1068.01874640816	1217.36862701486	1275.53360125895	1018.06571520093	1155.65780878043	850.833625240686	1414.42497331143	1198.13075718433	1095.28339464711	1036.68263838999	1191.25238412062	1054.13068229047
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	0	7	183.088927955685	0	279.022975275395	0	0	182.321491123004	166.402938036639	0	210.631422047521	0	0	254.445337104596
1A02_HUMAN	8	11	7	10	24	9	4	9	6	8	4	12	244.11857060758	393.854555798925	279.022975275395	407.226286080373	486.592761591759	273.482236684506	166.402938036639	385.113457666391	252.757706457025	331.738444284796	183.269597557018	436.192006465022
1A11_HUMAN	0	9	0	5	22	0	0	0	0	6	0	0	0	322.244636562757	0	203.613143040186	446.043364792445	0	0	0	0	248.803833213597	0	0
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	39.8604250393421	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	199.302125196711	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	0	0	10	0	0	239.162550236053	366.503657472335	0	0	0	0	252.757706457025	0	0	363.493338720851
1B08_HUMAN	6	0	0	0	17	6	4	0	6	0	0	0	183.088927955685	0	0	0	344.669872794162	182.321491123004	166.402938036639	0	252.757706457025	0	0	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	304.120475994849	0	0	0	0	0	0	0
1B39_HUMAN	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	207.336527677998	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	6	4	7	0	179.024798090421	239.162550236053	203.613143040186	0	0	0	342.323073481237	0	248.803833213597	183.269597557018	254.445337104596
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	199.302125196711	0	0	0	0	0	0	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	0	3	0	183.088927955685	0	279.022975275395	0	0	182.321491123004	0	0	0	0	137.452198167763	0
1C07_HUMAN	0	0	0	6	23	0	0	0	0	5	0	0	0	0	0	244.335771648223	466.318063192102	0	0	0	0	207.336527677998	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	0	0	10	213.603749281633	0	0	0	446.043364792445	151.934575935837	0	0	0	0	0	363.493338720851
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	1	0	2	122.05928530379	35.8049596180841	159.441700157369	81.4452572160745	101.373491998283	151.934575935837	124.80220352748	128.371152555464	42.1262844095041	41.4673055355995	0	72.6986677441703
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	0	0	0	0	35.8049596180841	0	40.7226286080373	40.5493967993132	30.3869151871674	0	42.7903841851546	0	0	0	0
2A5G_HUMAN	3	0	0	0	0	0	0	0	0	0	0	0	91.5444639778427	0	0	0	0	0	0	0	0	0	0	0
2AAA_HUMAN	14	18	22	20	31	22	22	18	17	18	8	17	427.207498563266	644.489273125514	876.929350865527	814.452572160745	628.515650389355	668.512134117682	915.216159201516	770.226915332782	716.14683496157	746.411499640791	366.539195114036	617.938675825447
2ABA_HUMAN	10	5	4	3	10	6	2	5	6	2	5	4	305.148213259476	179.024798090421	159.441700157369	122.167885824112	202.746983996566	182.321491123004	83.2014690183197	213.951920925773	252.757706457025	82.934611071199	229.086996946272	145.397335488341
3BHS7_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	30.5148213259476	0	0	0	0	0	0	0	0	0	0	0
3HAO_HUMAN	0	1	0	0	4	1	0	0	1	0	1	1	0	35.8049596180841	0	0	81.0987935986265	30.3869151871674	0	0	42.1262844095041	0	45.8173993892544	36.3493338720851
3HIDH_HUMAN	8	7	6	4	19	6	5	3	2	3	4	6	244.11857060758	250.634717326589	239.162550236053	162.890514432149	385.219269593476	182.321491123004	208.003672545799	128.371152555464	84.2525688190082	124.401916606799	183.269597557018	218.096003232511
3MG_HUMAN	1	0	1	1	0	1	0	0	0	1	0	0	30.5148213259476	0	39.8604250393421	40.7226286080373	0	30.3869151871674	0	0	0	41.4673055355995	0	0
4F2_HUMAN	15	9	10	10	27	14	11	10	8	7	4	8	457.722319889213	322.244636562757	398.604250393421	407.226286080373	547.416856790729	425.416812620343	457.608079600758	427.903841851546	337.010275276033	290.271138749197	183.269597557018	290.794670976681
5NTC_HUMAN	4	3	6	5	9	7	4	3	6	7	3	3	122.05928530379	107.414878854252	239.162550236053	203.613143040186	182.47228559691	212.708406310171	166.402938036639	128.371152555464	252.757706457025	290.271138749197	137.452198167763	109.048001616255
