CL_Name	CL_LINCS_ID	CL_Alternative_Name	CL_Alternative_ID	CL_Organism	CL_Organ	CL_Tissue	CL_Cell_Type	CL_Cell_Type_Detail	CL_Donor_Sex	CL_Donor_Age	CL_Donor_Ethnicity	CL_Donor_Health_Status	CL_Disease	CL_Disease_Detail	CL_Known_Mutations	CL_Mutation_Citations	CL_Molecular_Features	CL_Genetic_Modification	CL_Growth_Properties	CL_Recommended_Culture_Conditions	CL_Related_Projects	CL_Verification_Reference_Profile	CL_Relevant_Citations	CL_Reference_Source	CL_Reference_Source_ID	CL_Center_Name	CL_Center_Specific_ID	CL_Provider_Name	CL_Provider_Catalog_ID	CL_Provider_Batch_ID	CL_Quality_Verification	CL_Transient_Modification	CL_Cell_Markers	CL_Passage_Number	CL_Gonosome_Code	CL_Disease_Site_Onset	CL_Disease_Age_Onset	CL_Donor_Age_Death	CL_Donor_Disease_Duration
C32	LCL-1238			Homo sapiens	skin								melanoma	http://purl.obolibrary.org/obo/DOID_1909													HMSL50112	ATCC	CRL-1585										
COLO 858	LCL-1242			Homo sapiens	skin								melanoma	http://purl.obolibrary.org/obo/DOID_1909													HMSL50149	ECACC	93052613										
RVH-421	LCL-1255			Homo sapiens	skin								melanoma	http://purl.obolibrary.org/obo/DOID_1909													HMSL50475	DSMZ	ACC 127										
WM-115	LCL-1260			Homo sapiens	skin								melanoma	http://purl.obolibrary.org/obo/DOID_1909													HMSL50567	ATCC	CRL-1675										
WM1552C	LCL-1261			Homo sapiens	skin								melanoma	http://purl.obolibrary.org/obo/DOID_1909													HMSL50568	ATCC	CRL-2808										
LOXIMVI	LCL-1276			Homo sapiens	skin								melanoma	http://purl.obolibrary.org/obo/DOID_1909													HMSL50988	Sanger	COSMIC ID:905974										
MMAC-SF	LCL-1277																										HMSL50999		COSMIC ID:925339; Riken RCB1200										
MZ7-mel	LCL-1279			Homo sapiens	skin								melanoma	http://purl.obolibrary.org/obo/DOID_1909													HMSL51006	Sanger	COSMIC ID:753596										
K2	LCL-2091			Homo sapiens	skin								DOID:1909, malignant melanoma										"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=1298160"" target=""blank"">cancer.sanger.ac.uk/cell_lines/sample/overview?id=1298160</a>Note that further information about the provenance of this cell line is available in PMID 25877200 and at the International Cell Line Authentication Committee website http://iclac.org/databases/cross-contaminations/."	Hensin Tsao (Masschusetts General Hospital)			HMSL51100												
SKMEL28	LCL-2092			Homo sapiens	skin								DOID:1909, malignant melanoma										"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=905954"" target=""blank"">cancer.sanger.ac.uk/cell_lines/sample/overview?id=905954</a>"	ATCC	HTB-72		HMSL51101												
