centerdatasetid	cl_center_batch_id	cl_lincs_id	cl_name	cl_alternative_names	cl_alternative_ids	cl_center_canonical_id	cl_relevant_citations	cl_center_name	cl_provider_name	cl_provider_catalog_id	cl_provider_batch_id	cl_organism	cl_organ	cl_tissue	cl_cell_type	cl_cell_type_detail	cl_donor_sex	cl_donor_age	cl_donor_ethnicity	cl_donor_health_status	cl_disease	cl_disease_detail	cl_known_mutations	cl_mutation_citations	cl_molecular_features	cl_genetic_modification	cl_growth_properties	cl_recomended_culture_conditions	cl_related_projects	cl_verification_reference_profile	cl_reference_source	cl_cell_markers	cl_gonosome_code	cl_disease_site_onset	cl_disease_age_onset	cl_donor_age_death	cl_donor_disease_duration	cl_precursor_cell_name	cl_precursor_cell_lincs_id	cl_precursor_cell_center_batch_id	cl_production_details	cl_quality_verification	cl_transient_modification	cl_passage_number	cl_source_information	cl_date_received	cl_center_specific_code
20218	50112-2	LCL-1238	C32		"<a href = ""http://purl.obolibrary.org/obo/CLO_0002113""  target=""blank"">CLO_0002113</a>"	50112		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				male	0			DOID:1909, malignant melanoma			"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=906830""  target=""blank"">COSS906830</a>"		none	adherent	From MGH/CMT as specified by cell provider: Minimum essential medium (Eagle) with 2 mM L-glutamine and Earle's BSS adjusted to contain 1.5 g/L sodium bicarbonate, 0.1 mM non-essential amino acids, and 1.0 mM sodium pyruvate, 90%; fetal bovine serum, 10%			"<a href = ""http://www.atcc.org/Products/All/CRL-1585"" target=""blank"">ATCC CRL-1585</a>"														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012	2012	
20218	50149-2	LCL-1242	COLO 858	COLO-858, COLO858, Colo 858	"<a href = ""http://purl.obolibrary.org/obo/CLO_0002569""  target=""blank"">CLO_0002569</a>"	50149		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				male	0			DOID:1909, malignant melanoma					none	adherent	From MGH/CMT as specified by cell provider: RPMI 1640 + 2mM Glutamine + 10% Fetal Bovine Serum (FBS). Split confluent cultures 1:3 to 1:6 i.e. seeding at 2-4x10,000 cells/cm2 using 0.25% trypsin/EDTA; 37C; 5% CO2.			"<a href = ""https://www.phe-culturecollections.org.uk/products/celllines/generalcell/detail.jsp?refId=93052613&collection=ecacc_gc"" target=""blank"">European Collection of Authenticated  Cell Cultures (ECACC) 93052613</a>"														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012	2012	
20218	50475-2	LCL-1255	RVH-421	RVH421, RVH 421	"<a href = ""http://purl.obolibrary.org/obo/CLO_0008902""  target=""blank"">CLO_0008902</a>"	50475		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				male	0			DOID:1909, malignant melanoma			"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=909706""  target=""blank"">COSS909706</a>"		none	adherent	From MGH/CMT as specified by cell provider: 90% RPMI 1640 (or Leibovitz's L-15) + 10% FBS split confluent culture up to 1:10 one to two times per week using trypsin/EDTA; seed out 1-2 x 106 cells/175 cm 2 at 37C with 5% CO2 about 15 x 106 cells/175 cm 2			"<a href = ""https://www.dsmz.de/catalogues/details/culture/ACC-127.html?tx_dsmzresources_pi5%5BreturnPid%5D=192"" target=""blank"">Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures ACC 127</a>"														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012	2012	
20218	50567-2	LCL-1260	WM115	WM115-mel, WM-115, WM115mel, WC00079, WM 115, WM115F	"<a href = ""http://purl.obolibrary.org/obo/CLO_0009613""  target=""blank"">CLO_0009613</a>"	50567		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				female	0			DOID:1909, malignant melanoma			"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=909784""  target=""blank"">COSS909784</a>"		none	adherent	From MGH/CMT as specified by cell provider: Minimum essential medium (Eagle) with 2 mM L-glutamine and Earle's BSS adjusted to contain 1.5 g/L sodium bicarbonate, 0.1 mM non-essential amino acids, and 1.0 mM sodium pyruvate, 90%; fetal bovine serum, 10%. Protocol:  Remove and discard culture medium. Briefly rinse the cell layer with 0.25% (w/v) Trypsin- 0.03% EDTA solution to remove all traces of serum that contains trypsin inhibitor. Add 2.0 to 3.0 ml of Trypsin-EDTA solution to flask and observe cells under an inverted microscope until cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 34 to 35°C to facilitate dispersal. Add 6.0 to 8.0 ml of complete growth medium and aspirate cells by gently pipetting. Add appropriate aliquots of the cell suspension to new culture vessels. Incubate cultures at 34 to 35°C. Subcultivation ratio: A subcultivation ratio of 1:3 to 1:6 is recommended			"<a href = ""http://www.atcc.org/Products/All/CRL-1675"" target=""blank"">ATCC CRL-1675</a>"														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012	2012	
20218	50568-2	LCL-1261	WM1552C	EST73, WM-1552C, WM-1552, WM1552, WM 1552C	"<a href = ""http://purl.obolibrary.org/obo/CLO_0009614""  target=""blank"">CLO_0009614</a>"	50568		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				male	0			DOID:1909, malignant melanoma			"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=1299078""  target=""blank"">COSS1299078</a>"		none	adherent	From MGH/CMT as specified by cell provider: 2% Tumor Medium (Tu2%) containing a 4:1 mixture of MCDB 153 medium with 1.5 g/L sodium bicarbonate and Leibovitz's L-15 medium with 2 mM L-glutamine supplemented with 0.005 mg/ml bovine insulin, 1.68 mM CaCl2, and 2% fetal bovine serum. Protocol:  Remove and discard culture medium. Briefly rinse the cell layer with 0.25% (w/v) Trypsin- 0.53 mM EDTA solution to remove all traces of serum that contains trypsin inhibitor. Add 2.0 to 3.0 ml of Trypsin-EDTA solution to flask and observe cells under an inverted microscope until cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 37°C to facilitate dispersal. Add 6.0 to 8.0 ml of complete growth medium and aspirate cells by gently pipetting. Add appropriate aliquots of the cell suspension to new culture vessels.  An inoculum of 5 X 10(3) to 7 X 10(3) viable cells/cm2 is recommended. . Incubate cultures at 37°C. Subcultivation ratio: A subcultivation of 1:3 to 1:4 is recommended			"<a href = ""http://www.atcc.org/Products/All/CRL-2808"" target=""blank"">ATCC CRL-2808</a>"														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012	2012	
20218	50988-2	LCL-1276	LOX-IMVI	LOXIM-VI, LOX/IMVI, LOX, LOXIMVI, LOX IMVI	"<a href = ""http://purl.obolibrary.org/obo/CLO_0037130""  target=""blank"">CLO_0037130</a>"	50988		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				male	0			DOID:1909, malignant melanoma	malignant melanoma; metastatic		"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=905974""  target=""blank"">COSS905974</a>"		none	semi-adherent				"<a href = ""https://dtp.cancer.gov/repositories/default.htm"" target=""blank"">DTP, DCTD Tumor Repository, National Cancer Institute</a>"														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012. CMT previously had obtained the cells from the Wellcome Trust Sanger Institute.	2012	
20218	50999-2	LCL-1277	MMAc-SF	MMAc.SF, MMAC-SF	"<a href = ""http://purl.obolibrary.org/obo/CLO_0037131""  target=""blank"">CLO_0037131</a>"	50999		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				na	0			DOID:1909, malignant melanoma	malignant melanoma; ascites		"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=925339""  target=""blank"">COSS925339</a>"		none	adherent				"<a href = ""http://www2.brc.riken.jp/lab/cell/detail.cgi?cell_no=RCB1200&type=1"" target=""blank"">Cell Bank, RIKEN BioResource Center RCB1200</a>"														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012. CMT previously had obtained the cells from the Wellcome Trust Sanger Institute.	2012	
20218	51006-2	LCL-1279	MZ-MEL-7	MZ7-mel, MZ7-MEL, MZ-Mel-7	"<a href = ""http://purl.obolibrary.org/obo/CLO_0037133""  target=""blank"">CLO_0037133</a>"	51006		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				female	0			DOID:1909, malignant melanoma			"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=753596""  target=""blank"">COSS753596</a>"		none	adherent				Thomas Woelfel (Johannes Gutenberg University Mainz)														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012. CMT previously had obtained the cells from the Wellcome Trust Sanger Institute.	2012	
20218	51100-2	LCL-2091	K2		"<a href = ""http://purl.obolibrary.org/obo/CLO_0037127.""  target=""blank"">CLO_0037127</a>"	51100		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin					0			DOID:1909, malignant melanoma			"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=1298160""  target=""blank"">COSS1298160</a>"							Hensin Tsao (Masschusetts General Hospital)											AMBIGUOUS			Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012. CMT previously had obtained the cells from Hensin Tsao (Massachusetts General Hospital).	2012	
20218	51101-2	LCL-2092	SK-MEL-28	SK-MEL28, AU-Mel, SKMel28, SKMEL28, SK-Mel28, SKMEL-28, SKMel-28, SK MEL 28, SK.MEL.28, SK-MEL 28, SK Mel 28, SK-Mel-28, P36, P-36	"<a href = ""http://purl.obolibrary.org/obo/CLO_0009043""  target=""blank"">CLO_0009043</a>"	51101		HMS_LINCS	Nathan Moerke (Harvard Medical School)			Homo sapiens	skin				male	51			DOID:1909, malignant melanoma			"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=905954""  target=""blank"">COSS905954</a>"		none	adherent				"<a href = ""http://www.atcc.org/Products/All/HTB-72"" target=""blank"">ATCC HTB-72</a>"														Obtained by Nathan Moerke (Harvard Medical School) from the Center for Molecular Therapeutics (CMT; Massachusetts General Hospital) (contact: Cyril Benes) and distributed to Mohammad Fallahi-Sichani in 2012	2012	
