CL_LINCS_ID	CL_DToxS_Batch_ID	CL_Cell_Name	SM_LINCS_ID	SM_DToxS_Batch_ID	SM_Name	Assay_Wells	concentration_(uM)	time_point_(hr)	Average	std	Primary_AR_LINCS_ID_1	Primary_AR_DToxS_Batch_ID_1	Primary_AR_LINCS_ID_2	Primary_AR_DToxS_Batch_ID_2	Secondary_AR_LINCS_ID_1	Secondary_AR_DToxS_Batch_ID_1	Secondary_AR_LINCS_ID_2	Secondary_AR_DToxS_Batch_ID_2
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	0	0	1	0	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	0	1	0.9292	0.1715	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	0	6	0.7255	0.1222	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	0	24	0.5291	0.0789	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	1	1	0.1159	0.0068	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	1	6	0.2078	0.0464	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	1	24	0.3192	0.099	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	3.2	6	0.2	0.0463	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	3.2	24	0.1206	0.0262	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A1-A3	10	6	0.0187	0.001	LAR-1073	pAkt-19	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
