CL_LINCS_ID	CL_DToxS_Batch_ID	CL_Cell_Name	SM_LINCS_ID	SM_DToxS_Batch_ID	SM_Name	Assay_Wells	concentration_(uM)	time_point_(hr)	Average	std	Primary_AR_LINCS_ID_1	Primary_AR_DToxS_Batch_ID_1	Primary_AR_LINCS_ID_2	Primary_AR_DToxS_Batch_ID_2	Secondary_AR_LINCS_ID_1	Secondary_AR_DToxS_Batch_ID_1	Secondary_AR_LINCS_ID_2	Secondary_AR_DToxS_Batch_ID_2
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	0	0	1	0	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	0	1	0.8249	0.0578	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	0	6	0.7123	0.133	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	0	24	0.3138	0.0061	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	1	1	0.5027	0.0951	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	1	6	0.4803	0.11	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	1	24	0.4228	0.0886	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	3.2	6	0.3454	0.0138	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	3.2	24	0.2594	0.1873	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	10	6	0.2664	0.0453	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	10	24	0.2607	0.0674	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-4256	ALP1	Alpelisib	A4-A6	serum starved	serum starved	0.0266	0.0095	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
LCL-2085	MCF10A-Dx1	MCF10A	LSM-1071	PAL1	Palbociclib	B4 - B6	0	0	1	0	LAR-1087	pErk-15	LAR-1110	aTub-4	LAR-1113	2ndG-aR-05	LAR-1112	2ndG-aM-03
