Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
KSR2	7/506	0.000247876777803280614297098960463472394621931016445159912109375	0.004379203302065437682089044102440311689861118793487548828125	0.0000547683840362694004401909741996945513164973817765712738037109375	0.00045183916829922253499685069755287258885800838470458984375	-1.6723890229026959	9.082558254552227	ACTA2;TUBA1B;TUBA1A;TUBB2A;APOE;TUBB4B;ACTB
ILK	8/682	0.0002654062607312386687548333430441971358959563076496124267578125	0.004379203302065437682089044102440311689861118793487548828125	0.0000485833786789486977530753974985344711967627517879009246826171875	0.00045183916829922253499685069755287258885800838470458984375	-1.5832913896583192	8.598678945849144	ACTA2;TUBA1B;CKB;APOE;TUBB4B;ACTB;YWHAG;TUFM
ITK	14/2130	0.000533679826173061072798475823475428114761598408222198486328125	0.0058704780879036723428843203009819262661039829254150390625	0.000036638531581154539537407976990124325311626307666301727294921875	0.00045183916829922253499685069755287258885800838470458984375	-1.483005950489257	7.619416449813574	NSF;WDR1;CNP;PRKCB;TUBB4B;YWHAZ;KALRN;ACTB;TUBA1B;TUBA1A;MBP;APOE;CORO7;MAPRE2
ATM	8/1197	0.00915505119468376822589039676358879660256206989288330078125	0.06042333788491287271948948500721598975360393524169921875	0.0020154758095287310208643116737903255852870643138885498046875	0.00884079445581251698038638409116174443624913692474365234375	-1.786783045422679	5.0143919525907314	TUBA1A;TUBB;CKB;TUBB4B;MAPRE2;ACTB;YWHAG;TUFM
AKT1	18/4353	0.0149918294248161110271411189387436024844646453857421875	0.0743445938495866653905608245622715912759304046630859375	0.000882322961260782290086879253721008353750221431255340576171875	0.005823331544321162962785098926588034373708069324493408203125	-1.8157416199175125	4.719192945463565	FGA;CAMK2D;CAMK2A;FGG;RRBP1;AK5;TUBB4B;KALRN;ACTB;TUFM;TUBA1B;VCAN;TUBA1A;TUBB2A;ALB;DLGAP1;APOE;CKB
BMPR2	35/10324	0.006347817673106434695207145324502562289126217365264892578125	0.052369495803128086885980252418448799289762973785400390625	0.0000166145837985266588469022985830036986953928135335445404052734375	0.00045183916829922253499685069755287258885800838470458984375	-0.7630784240414245	2.2506471580221192	NAPB;CAMK2D;WDR1;CNP;CAMK2A;RRBP1;AGAP3;KALRN;ACTB;TUBA1B;MOBP;MBP;DLGAP1;CKB;YWHAG;NSF;FGA;PRKCB;FGG;HSPA12A;TUBB4B;TUBB4A;YWHAZ;TUFM;ACTA2;CNKSR2;VCAN;TUBB2A;LRRC7;ALB;PLP1;PKP2;CORO7;SHANK3;MAPRE2
IGF1R	17/5102	0.11376836825458012947276387194506241939961910247802734375	0.22860701993137177989723340942873619496822357177734375	0.01276136883711041780653516752863652072846889495849609375	0.03828410651133125341960550258590956218540668487548828125	-0.8626815319326195	1.2731029779169727	DOCK4;CNP;TUBB;AK5;TUBB4B;KALRN;ACTB;TUFM;ACTA2;TUBA1B;VCAN;TUBA1A;TUBB2A;MOBP;DLGAP1;MBP;MAPRE2
DDR1	5/822	0.053635362801862103421246530388089013285934925079345703125	0.135654622473029728979554420220665633678436279296875	0.0212327293529059636656430853918209322728216648101806640625	0.046712004576393122146082959034174564294517040252685546875	-0.5411528400102451	1.081030271519544	NAPB;CAMK2D;DOCK4;WDR1;YWHAG
AKT2	4/622	0.0694536723304263470257779999883496202528476715087890625	0.1527980791269379634567115999743691645562648773193359375	0.03240892627218917854126090105637558735907077789306640625	0.0594163648323468296386096199057647027075290679931640625	-0.43300231613506857	0.8134545936993867	TUBA1B;YWHAZ;ACTB;YWHAG
CDK9	4/516	0.039695770606653690837362091770046390593051910400390625	0.119087311819961072512086275310139171779155731201171875	0.01785139481462237609488141742986044846475124359130859375	0.042078287777324176188731286174515844322741031646728515625	-0.25972563793512576	0.5526697543717077	TUBA1B;TUBA1A;YWHAZ;ACTB
KSR1	5/643	0.021786383561033857703126415117367287166416645050048828125	0.079883406390457489809620028609060682356357574462890625	0.0080771823968471580246220042909044423140585422515869140625	0.02665470190959562390986548052751459181308746337890625	-0.21537763725298117	0.5442995924165077	TUBA1B;TUBA1A;RRBP1;YWHAZ;ACTB
EGFR	12/3728	0.2097809812128661743901858471872401423752307891845703125	0.314671471819299275463066578595316968858242034912109375	0.049029755583733895807352354268005001358687877655029296875	0.080899096713160922877960956611786969006061553955078125	-0.34328397163476443	0.39691389836072216	NSF;TUBA1B;CAMK2D;VCAN;TUBB2A;WDR1;RRBP1;TUBB4B;YWHAZ;YWHAG;ACTB;TUFM
HUNK	3/605	0.1922052457509035583438361527441884391009807586669921875	0.310789216637275600430001532004098407924175262451171875	0.1125030214158735664131683051891741342842578887939453125	0.168754532123810363497540265598217956721782684326171875	0.08016080770219362	-0.09367915489801946	TUBB2A;CNP;PKP2
ROCK1	1/687	0.8262041435101969977239377840305678546428680419921875	0.8520230229948906330861291280598379671573638916015625	0.73998477067578638521894163204706273972988128662109375	0.7631092947594046993486927021876908838748931884765625	0.7414518363225614	-0.11873737994604505	WDR1
ROCK2	1/892	0.898136644094943203953107513370923697948455810546875	0.898136644094943203953107513370923697948455810546875	0.827178832930757668151500183739699423313140869140625	0.827178832930757668151500183739699423313140869140625	1.2507638692942913	-0.13437338648797623	RRBP1
JAK2	1/400	0.63628600687357284027001469439710490405559539794921875	0.67733671699444852887239676419994793832302093505859375	0.54190933050116230074166878694086335599422454833984375	0.57687122279155989001964144335943274199962615966796875	0.6690336420628115	-0.2606466512180901	TUBB2A
CDK8	15/3424	0.017351310253964961904937780445834505371749401092529296875	0.0743445938495866653905608245622715912759304046630859375	0.00157303741449819271640275797352614972623996436595916748046875	0.00865170577974005983179495160584338009357452392578125	0.1003759521147861	-0.26088154829859916	DOCK4;CAMK2D;PRKCB;YWHAZ;TUBB4A;ACTB;ACTA2;VCAN;TUBA1B;TUBB2A;TUBA1A;DLG4;PLP1;CKB;YWHAG
FGFR1	6/1508	0.1725419098176946552936072976081050001084804534912109375	0.299678053893890739001193423973745666444301605224609375	0.0700567404872385057768013894019532017409801483154296875	0.110089163622803354325441205219249241054058074951171875	0.35910445614532205	-0.4327375803133341	VCAN;PRKCB;ALB;TUBB4B;ACTB;TUFM
ALK	23/6862	0.05755044589764897466910298362563480623066425323486328125	0.135654622473029728979554420220665633678436279296875	0.00242397212970301388634819517164942226372659206390380859375	0.00888789780891104976012773164484315202571451663970947265625	0.28091795195428426	-0.5611738263631857	CAMK2D;DOCK4;WDR1;CNP;TUBB;LANCL1;RRBP1;AGAP3;TUBB4B;YWHAZ;KALRN;ACTB;TUFM;GFAP;TUBA1B;VCAN;TUBB2A;TUBA1A;DLGAP1;CKB;CORO7;MAPRE2;YWHAG
HIPK2	3/1227	0.5994572673994056355439852268318645656108856201171875	0.6594029941393462213028442420181818306446075439453125	0.425879766185766006625357249504304490983486175537109375	0.4846218029010440631054734694771468639373779296875	1.3984974274138453	-0.582362868824138	MBP;ACTB;TUFM
CDK4	1/302	0.53312742130699464215837224401184357702732086181640625	0.627369382095625649498060738551430404186248779296875	0.444989398598006957730177646226366050541400909423828125	0.489488338457807647952080287723219953477382659912109375	1.5432330024753003	-0.719485759647623	YWHAG
ERBB2	16/6394	0.5513246085082770253649186997790820896625518798828125	0.627369382095625649498060738551430404186248779296875	0.15234494923353125717113698556204326450824737548828125	0.2094743051961054647325255473333527334034442901611328125	1.557398723838416	-0.7260900992253472	CAMK2B;NSF;WDR1;CNP;TUBB;LANCL1;RRBP1;TUBB4B;ACTB;TUBA1B;VCAN;TUBB2A;MBP;CORO7;MAPRE2;YWHAG
BTK	1/144	0.30354158261447150568557162841898389160633087158203125	0.435516183751198215912125988324987702071666717529296875	0.244887715787705573244892320872168056666851043701171875	0.3108190238843955288672304959618486464023590087890625	0.8971552138390337	-0.7457363372583142	ACTB
MELK	3/876	0.375767156360074905396828626180649735033512115478515625	0.49601264639529885069890724480501376092433929443359375	0.2403107979986065234623282549364375881850719451904296875	0.3108190238843955288672304959618486464023590087890625	1.7666692056172733	-1.2387069254726457	ALB;RRBP1;YWHAG
FGFR3	3/932	0.414056120311043052151234178381855599582195281982421875	0.525532768087093149489419374731369316577911376953125	0.26950770763603959512266783349332399666309356689453125	0.320878467780206177994983818280161358416080474853515625	2.778450940896004	-1.7874962262454257	PRKCB;MBP;AK5
