SignatureId,Perturbagen,Concentration,CellLine,Time
LINCSTP_0001,Compound E,0.1,NPC,3h
LINCSTP_0002,Decitabine,10,PC3,3h
LINCSTP_0003,Nilotinib,3,HAoSMC,3h
LINCSTP_0004,TG101348,8,MCF7,3h
LINCSTP_0005,Ruxolitinib,0.5,A375,3h
LINCSTP_0006,Geldanamycin,2,YAPC,3h
LINCSTP_0007,Verteporfin,5,NPC,3h
LINCSTP_0008,Nilotinib,3,HUVEC,3h
LINCSTP_0009,Dinaciclib,4.5,YAPC,3h
LINCSTP_0010,Gossypetin,10,NPC,3h
LINCSTP_0011,Etoposide,0.316,MCF10A,24h
LINCSTP_0012,Rolipram,1,PC3,3h
LINCSTP_0013,EPZ004777,3,NPC,3h
LINCSTP_0014,Taxol,0.003162,MCF10A,3h
LINCSTP_0015,Afuresertib,2.5,MCF7,3h
LINCSTP_0016,RO4929097,3.5,PC3,3h
LINCSTP_0017,Decitabine,10,A549,3h
LINCSTP_0018,Pravastatin,0.75,HAoSMC,3h
LINCSTP_0019,Trametinib,0.01,MCF10A,24h
LINCSTP_0020,Decitabine,10,A375,3h
LINCSTP_0021,GSK525762A,1,NPC,3h
LINCSTP_0022,VX-970,0.1,MCF7,24h
LINCSTP_0023,Dinaciclib,4.5,NPC,3h
LINCSTP_0024,Tofacitinib,0.4,MCF7,6h
LINCSTP_0025,Pravastatin,0.75,MCF7,6h
LINCSTP_0026,SCH 900776,5.5,MCF7,24h
LINCSTP_0027,VU0155056,1,PC3,3h
LINCSTP_0028,PRI-724,1.7,MCF7,24h
LINCSTP_0029,Nilotinib,3,A549,3h
LINCSTP_0030,1271738-62-5,12,A549,3h
LINCSTP_0031,Tretinoin,3,HUVEC,3h
LINCSTP_0032,Vorinostat,1,NPC,3h
LINCSTP_0033,Staurosporine,1,MCF7,24h
LINCSTP_0034,Pazopanib,40,MCF7,6h
LINCSTP_0035,BMS-906024,0.5,MCF7,6h
LINCSTP_0036,Tofacitinib,0.4,HUVEC,3h
LINCSTP_0037,TBB,25,A375,3h
LINCSTP_0038,UNC1215,1,PC3,3h
LINCSTP_0039,VX-970,0.1,PC3,3h
LINCSTP_0040,DMSO,0,MCF7,6h
LINCSTP_0041,Sirolimus,1,A375,3h
LINCSTP_0042,Pazopanib,40,HAoSMC,3h
LINCSTP_0043,KN-93,0.1,A375,3h
LINCSTP_0044,EPZ004777,3,YAPC,3h
LINCSTP_0045,Dexamethasone,10,A375,3h
LINCSTP_0046,Zebularine,10,PC3,3h
LINCSTP_0047,C646 (CHEMBL1797936),25,NPC,3h
LINCSTP_0048,JQ1-S,1,YAPC,3h
LINCSTP_0049,Dactolisib,1,YAPC,3h
LINCSTP_0050,SP600125,25,YAPC,3h
LINCSTP_0051,IPI145,0.5,YAPC,3h
LINCSTP_0052,Okadaic Acid,1,NPC,3h
LINCSTP_0053,Afuresertib,2.5,YAPC,3h
LINCSTP_0054,OSI-027,2,A375,3h
LINCSTP_0055,KN-93,0.1,MCF7,3h
LINCSTP_0056,Flavopiridol,0.4,YAPC,3h
LINCSTP_0057,LY-294002,10,PC3,3h
LINCSTP_0058,Trametinib,0.001,MCF10A,3h
LINCSTP_0059,TG101348,8,YAPC,3h
LINCSTP_0060,Methylstat,10,A549,3h
LINCSTP_0061,Niclosamide,3,A375,3h
LINCSTP_0062,PS-1145,10,PC3,3h
LINCSTP_0063,EX527,10,A375,3h
